Source;Target;Type
'01712';TNA;Undirected
'01712';LTT;Undirected
'01713';LTT;Undirected
'01713';TNA;Undirected
'01713';KYN;Undirected
'01713';IGP;Undirected
'01713';NK;Undirected
'01713';BSL;Undirected
'01713';KNW;Undirected
'01713';HD;Undirected
'01713';ET;Undirected
'01713';HBD;Undirected
'01713';HBJ;Undirected
'01714';HBJ;Undirected
'01714';HBD;Undirected
'01714';ET;Undirected
'01714';HD;Undirected
'01714';KNW;Undirected
'01714';BSL;Undirected
'01714';JL;Undirected
'01714';NK;Undirected
'01714';IGP;Undirected
'01714';KYN;Undirected
'01714';TNA;Undirected
'01714';DR;Undirected
'01714';CSTM;Undirected
'02111';LTT;Undirected
'02111';TNA;Undirected
'02111';KYN;Undirected
'02111';NK;Undirected
'02111';JL;Undirected
'02111';BSL;Undirected
'02111';KNW;Undirected
'02111';HBJ;Undirected
'02111';BINA;Undirected
'02111';JHS;Undirected
'02111';ORAI;Undirected
'02111';CNB;Undirected
'02111';LKO;Undirected
'02112';LKO;Undirected
'02112';CNB;Undirected
'02112';ORAI;Undirected
'02112';JHS;Undirected
'02112';HBJ;Undirected
'02112';BSL;Undirected
'02112';JL;Undirected
'02112';NK;Undirected
'02112';KYN;Undirected
'02112';TNA;Undirected
'02112';LTT;Undirected
'02509';BNC;Undirected
'02509';KPD;Undirected
'02509';MAS;Undirected
'02509';BZA;Undirected
'02509';DVD;Undirected
'02509';VZM;Undirected
'02509';KUR;Undirected
'02509';BBS;Undirected
'02509';BHC;Undirected
'02509';KGP;Undirected
'02509';HWH;Undirected
'02509';RPH;Undirected
'02509';MLDT;Undirected
'02509';KNE;Undirected
'02509';NJP;Undirected
'02509';NBQ;Undirected
'02509';KYQ;Undirected
'02510';KYQ;Undirected
'02510';GLPT;Undirected
'02510';NBQ;Undirected
'02510';NJP;Undirected
'02510';KNE;Undirected
'02510';MLDT;Undirected
'02510';RPH;Undirected
'02510';HWH;Undirected
'02510';KGP;Undirected
'02510';BHC;Undirected
'02510';BBS;Undirected
'02510';KUR;Undirected
'02510';PSA;Undirected
'02510';VZM;Undirected
'02510';DVD;Undirected
'02510';BZA;Undirected
'02510';MAS;Undirected
'02510';KPD;Undirected
'02510';BNC;Undirected
'02511';PUNE;Undirected
'02511';PNVL;Undirected
'02511';NK;Undirected
'02511';NGP;Undirected
'02511';G;Undirected
'02511';DURG;Undirected
'02511';R;Undirected
'02511';BSP;Undirected
'02511';JSG;Undirected
'02511';ROU;Undirected
'02511';CKP;Undirected
'02511';PRR;Undirected
'02511';JOC;Undirected
'02511';ASN;Undirected
'02511';UDL;Undirected
'02511';RPH;Undirected
'02511';MLDT;Undirected
'02511';KNE;Undirected
'02511';NJP;Undirected
'02511';RQJ;Undirected
'02511';NCB;Undirected
'02511';NOQ;Undirected
'02511';NBQ;Undirected
'02511';GLPT;Undirected
'02511';KYQ;Undirected
'02512';KYQ;Undirected
'02512';GLPT;Undirected
'02512';NBQ;Undirected
'02512';NOQ;Undirected
'02512';NCB;Undirected
'02512';RQJ;Undirected
'02512';NJP;Undirected
'02512';KNE;Undirected
'02512';MLDT;Undirected
'02512';RPH;Undirected
'02512';UDL;Undirected
'02512';ASN;Undirected
'02512';JOC;Undirected
'02512';PRR;Undirected
'02512';CKP;Undirected
'02512';ROU;Undirected
'02512';JSG;Undirected
'02512';BSP;Undirected
'02512';R;Undirected
'02512';DURG;Undirected
'02512';G;Undirected
'02512';NGP;Undirected
'02512';NK;Undirected
'02512';PNVL;Undirected
'02512';PUNE;Undirected
'02590';SC;Undirected
'02590';KZJ;Undirected
'02590';BPQ;Undirected
'02590';NGP;Undirected
'02590';ET;Undirected
'02590';HBJ;Undirected
'02590';JHS;Undirected
'02590';CNB;Undirected
'02590';LJN;Undirected
'02590';GD;Undirected
'02590';BST;Undirected
'02590';GKP;Undirected
'02779';VSG;Undirected
'02779';MAO;Undirected
'02779';SVM;Undirected
'02779';QLM;Undirected
'02779';CLR;Undirected
'02779';LD;Undirected
'02779';LWR;Undirected
'02779';DWR;Undirected
'02779';UBL;Undirected
'02779';HVR;Undirected
'02779';RNR;Undirected
'02779';HRR;Undirected
'02779';DVG;Undirected
'02779';JRU;Undirected
'02779';RRB;Undirected
'02779';DRU;Undirected
'02779';ASK;Undirected
'02779';TTR;Undirected
'02779';AMSA;Undirected
'02779';TK;Undirected
'02779';YPR;Undirected
'02779';SBC;Undirected
'02853';HWH;Undirected
'02853';KGP;Undirected
'02853';BBS;Undirected
'02853';VSKP;Undirected
'02853';BZA;Undirected
'02853';KPD;Undirected
'02853';CBE;Undirected
'02853';ERS;Undirected
'02873';VSKP;Undirected
'02873';DVD;Undirected
'02873';AKP;Undirected
'02873';SLO;Undirected
'02873';RJY;Undirected
'02873';BZA;Undirected
'02873';RU;Undirected
'02873';TPTY;Undirected
'02874';TPTY;Undirected
'02874';RU;Undirected
'02874';BZA;Undirected
'02874';RJY;Undirected
'02874';SLO;Undirected
'02874';AKP;Undirected
'02874';DVD;Undirected
'02874';VSKP;Undirected
'02877';VSKP;Undirected
'02877';DVD;Undirected
